RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,BCNSHP,CATSPM,COLOUR,COLPAT,CONDTN,CONRAD,CONVIS,DATEND,DATSTA,ELEVAT,HEIGHT,MARSYS,NATCON,NOBJNM,OBJNAM,PEREND,PERSTA,STATUS,VERACC,VERDAT,VERLEN,INFORM,NINFOM,NTXTDS,PICREP,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
53,1,2,9,1,550,175369373,1080,02260A73EC9D0438,,,5,"13,52",,,,,,,,,,,,,,,,8,,,,,,,,,90000,,,,19980418,"US,US,graph,chart 11322"
54,1,2,9,1,550,175369386,1080,02260A73ECAA0438,,,5,"13,52",,,,,,,,,,,,,,,,8,,,,,,,,,90000,,,,19980418,"US,US,graph,chart 11322"
55,1,2,9,1,550,175508507,1080,02260A760C1B0438,,,1,32,,,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
58,1,2,9,1,550,175369398,1080,02260A73ECB60438,"(3:02260A73EE2E0438,02260A73EFE50438,02260A73F0AD0438)","(3:2,2,2)",4,16,,,,,,,,,,,,,Freeport Jetty Channel Range Rear Light,,,1,,,,,,,,,120000,,,,19930413,"US,US,reprt,8thCGD,LNM 15/93"
62,1,2,9,1,550,175369411,1080,02260A73ECC30438,"(4:02260A73EE3A0438,02260A73EFF30438,02260A73F0020438,02260A73F0BC0438)","(4:2,2,2,2)",4,16,,,,,,,,,,,,,Freeport Jetty Channel Range Front Light,,,1,,,,,,,,,120000,,,,20001003,"US,US,reprt,8thCGD,LNM 40/00"
68,1,2,9,1,550,175369424,1080,02260A73ECD00438,(1:02260A73F01F0438),(1:2),1,"13,27",,,,,,,,,,,,,Dow Chemical A-14 Dock Light,,,8,,,,,,,,,90000,,,,19771201,"US,US,reprt,8thCGD,LNM 52/77"
70,1,2,9,1,550,175369450,1080,02260A73ECEA0438,(1:02260A73F02E0438),(1:2),1,"13,27",,,,,,,,,,,,,Dow Chemical A-13 Dock Light,,,8,,,,,,,,,90000,,,,19800301,"US,US,reprt,8thCGD,LNM 10/80"
72,1,2,9,1,550,175369463,1080,02260A73ECF70438,(1:02260A73F03B0438),(1:2),1,"13,27",,,,,,,,,,,,,Dow Chemical A-8 Dock Lights (2),,,8,,,,,,,,,90000,,,,19680901,"US,U1,reprt,NM 40/68"
76,1,2,9,1,550,175369476,1080,02260A73ED040438,"(2:02260A73EE530438,02260A73F0490438)","(2:2,2)",4,16,,,,,,,,,,,,,Freeport Harbor Channel Range Front Light,,,1,,,,,,,,,120000,,,,19970802,"US,US,graph,chart 11322"
79,1,2,9,1,550,175369487,1080,02260A73ED0F0438,"(2:02260A73EE600438,02260A73F0570438)","(2:2,2)",4,16,,,,,,,,,,,,,Freeport Harbor Channel Range Rear Light,,,1,,,,,,,,,120000,,,,19970802,"US,US,graph,chart 11322"
83,1,2,9,1,550,175369499,1080,02260A73ED1B0438,(1:02260A73F0910438),(1:2),1,"13,27",,,,,,,,,,,,,Dow Chemical A-5 Dock Light,,,8,,,,,,,,,90000,,,,19991214,"US,US,reprt,8thCGD,LNM 50/99"
85,1,2,9,1,550,175369512,1080,02260A73ED280438,(1:02260A73F0810438),(1:2),1,"13,27",,,,,,,,,,,,,Dow Chemical A-22 East Dock Light,,,8,,,,On dock.,,,,,90000,,,,19940322,"US,US,reprt,8thCGD,LNM 12/94"
87,1,2,9,1,550,175369524,1080,02260A73ED340438,(1:02260A73F0640438),(1:2),5,"13,27",,,,,,,,,,,,,Dow Chemical A-3A Dock Light,,,8,,,,,,,,,90000,,,,19920324,"US,US,reprt,8thCGD,LNM 13/92"
89,1,2,9,1,550,175369537,1080,02260A73ED410438,(1:02260A73F0720438),(1:2),1,"13,27",,,,,,,,,,,,,Dow Chemical A-22 West Dock Light,,,8,,,,On dock.,,,,,90000,,,,19940322,"US,US,reprt,8thCGD,LNM 12/94"
