RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATBRG,COLOUR,COLPAT,CONDTN,CONRAD,CONVIS,DATEND,DATSTA,HORACC,HORCLR,NATCON,NOBJNM,OBJNAM,VERACC,VERCCL,VERCLR,VERCOP,VERDAT,INFORM,NINFOM,NTXTDS,PICREP,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
101,3,2,11,1,550,175374622,1080,02260A74011E0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
102,3,2,11,1,550,175374405,1080,02260A7400450438,,,6,,,1,,,,,,39.62,,,,,,,,,,,,,,90000,,,,20010201,"US,US,reprt,L-229/01 "
103,3,2,11,1,550,175374418,1080,02260A7400520438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
104,3,2,11,1,550,175374288,1080,02260A73FFD00438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
105,3,2,11,1,550,175373995,1080,02260A73FEAB0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
106,3,2,11,1,550,175374034,1080,02260A73FED20438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
107,3,2,11,1,550,175374061,1080,02260A73FEED0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
108,3,2,11,1,550,175374074,1080,02260A73FEFA0438,,,3,,,,,,,,,32.91,,,,,,3.35,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
109,3,2,11,1,550,175374167,1080,02260A73FF570438,,,1,,,,,,,,,30.48,,,,,,15.24,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
110,3,2,11,1,550,175374180,1080,02260A73FF640438,,,1,,,,,,,,,10.97,,,,,,6.09,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
111,3,2,11,1,550,175374247,1080,02260A73FFA70438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
112,3,2,11,1,550,175374269,1080,02260A73FFBD0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
113,3,2,11,1,550,175374447,1080,02260A74006F0438,,,1,,,,,,,,,30.48,,,,,,18.28,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
114,2,2,11,1,550,175404711,1080,02260A7476A70438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
115,2,2,11,1,550,175404724,1080,02260A7476B40438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
116,2,2,11,1,550,175404751,1080,02260A7476CF0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
117,2,2,11,1,550,175404764,1080,02260A7476DC0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
118,2,2,11,1,550,175404792,1080,02260A7476F80438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
119,2,2,11,1,550,175405322,1080,02260A74790A0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
120,2,2,11,1,550,175405336,1080,02260A7479180438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
121,2,2,11,1,550,175405537,1080,02260A7479E10438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
122,2,2,11,1,550,175405604,1080,02260A747A240438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
123,2,2,11,1,550,175406461,1080,02260A747D7D0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
124,2,2,11,1,550,175406640,1080,02260A747E300438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
125,2,2,11,1,550,175406653,1080,02260A747E3D0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
126,2,2,11,1,550,175406666,1080,02260A747E4A0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
127,2,2,11,1,550,175406679,1080,02260A747E570438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
128,2,2,11,1,550,175407317,1080,02260A7480D50438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
129,2,2,11,1,550,175407451,1080,02260A74815B0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
130,2,2,11,1,550,175407492,1080,02260A7481840438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
131,2,2,11,1,550,175407520,1080,02260A7481A00438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
132,2,2,11,1,550,175407533,1080,02260A7481AD0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
133,2,2,11,1,550,175407547,1080,02260A7481BB0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
134,2,2,11,1,550,175407641,1080,02260A7482190438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
135,2,2,11,1,550,175407655,1080,02260A7482270438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
136,2,2,11,1,550,175407669,1080,02260A7482350438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
137,2,2,11,1,550,175407710,1080,02260A74825E0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
138,2,2,11,1,550,175407926,1080,02260A7483360438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
139,2,2,11,1,550,175407954,1080,02260A7483520438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
140,2,2,11,1,550,175408252,1080,02260A74847C0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
141,2,2,11,1,550,175414241,1080,02260A749BE10438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
142,2,2,11,1,550,175414573,1080,02260A749D2D0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
143,2,2,11,1,550,175414602,1080,02260A749D4A0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
144,2,2,11,1,550,175416433,1080,02260A74A4710438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
145,2,2,11,1,550,175416703,1080,02260A74A57F0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
146,2,2,11,1,550,175416746,1080,02260A74A5AA0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
147,2,2,11,1,550,175416801,1080,02260A74A5E10438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
148,2,2,11,1,550,175489853,1080,02260A75C33D0438,,,1,,,,,,,,,22.86,,,,,,12.22,,,,,,,,90000,,,,20000202,"US,US,reprt,L-1577/00"
149,3,2,11,1,550,175373861,1080,02260A73FE250438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
150,3,2,11,1,550,175373892,1080,02260A73FE440438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
151,3,2,11,1,550,175373904,1080,02260A73FE500438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
152,3,2,11,1,550,175373969,1080,02260A73FE910438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
153,3,2,11,1,550,175373981,1080,02260A73FE9D0438,,,1,,,,,,,,,38.1,,,,,,22.25,,,,,,,,90000,,,,19980207,"US,US,reprt,L-1148/99"
154,3,2,11,1,550,175374009,1080,02260A73FEB90438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
155,3,2,11,1,550,175374022,1080,02260A73FEC60438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
156,3,2,11,1,550,175374153,1080,02260A73FF490438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
157,3,2,11,1,550,175374233,1080,02260A73FF990438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
158,3,2,11,1,550,175374715,1080,02260A74017B0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
159,2,2,11,1,550,175415547,1080,02260A74A0FB0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
160,2,2,11,1,550,175417152,1080,02260A74A7400438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
161,2,2,11,1,550,175417168,1080,02260A74A7500438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
162,2,2,11,1,550,175417196,1080,02260A74A76C0438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
163,2,2,11,1,550,175417238,1080,02260A74A7960438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
164,2,2,11,1,550,175417478,1080,02260A74A8860438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
165,2,2,11,1,550,175417592,1080,02260A74A8F80438,,,1,,,,,,,,,,,,,,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
