RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATCBL,CONDTN,CONRAD,CONVIS,DATEND,DATSTA,ICEFAC,NOBJNM,OBJNAM,STATUS,VERACC,VERCLR,VERCSA,VERDAT,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
223,2,2,21,1,550,175409029,1080,02260A7487850438,,,1,,,,,,,,,,,11.58,,,Overhead power/telephone cables,,,,180000,,,,19990529,"US,US,graph,chart 11322"
224,2,2,21,1,550,175407108,1080,02260A7480040438,,,1,,,,,,,,,,,20.72,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
225,2,2,21,1,550,175421625,1080,02260A74B8B90438,,,1,,,,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
226,2,2,21,1,550,175421640,1080,02260A74B8C80438,,,1,,,,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
227,2,2,21,1,550,175422462,1080,02260A74BBFE0438,,,1,,,,,,,,,,,17.37,,,Overhead power/telephone cable,,,,180000,,,,19990529,"US,US,graph,chart 11322"
228,2,2,21,1,550,175422477,1080,02260A74BC0D0438,,,1,,,,,,,,,,,17.37,,,Overhead power/telephone cable,,,,180000,,,,19990529,"US,US,graph,chart 11322"
229,2,2,21,1,550,175424020,1080,02260A74C2140438,,,1,,,,,,,,,,,30.48,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
230,2,2,21,1,550,175447853,1080,02260A751F2D0438,,,1,,,,,,,,,,,32.91,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
231,2,2,21,1,550,175404670,1080,02260A74767E0438,,,1,,,,,,,,,,,22.86,,,Rep Cl 70 FT,,,,180000,,,,19990529,"US,US,graph,chart 11322"
232,2,2,21,1,550,175405762,1080,02260A747AC20438,,,1,,,,,,,,,,,22.86,,,Rep Cl 70 FT,,,,180000,,,,19990529,"US,US,graph,chart 11322"
233,2,2,21,1,550,175406421,1080,02260A747D550438,,,1,,,,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
234,2,2,21,1,550,175407614,1080,02260A7481FE0438,,,1,,,,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
235,2,2,21,1,550,175415241,1080,02260A749FC90438,,,1,,,,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
236,2,2,21,1,550,175415257,1080,02260A749FD90438,,,1,,,,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
237,2,2,21,1,550,175416688,1080,02260A74A5700438,,,1,,,,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
238,2,2,21,1,550,175417266,1080,02260A74A7B20438,,,4,,,,,,,,,,,32.61,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
239,2,2,21,1,550,175417908,1080,02260A74AA340438,,,1,,,,,,,,,,,19.2,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
240,2,2,21,1,550,175420008,1080,02260A74B2680438,,,1,,,,,,,,,,,14.32,,,Overhead power/telephone cable,,,,180000,,,,19990529,"US,US,graph,chart 11322"
241,2,2,21,1,550,175420023,1080,02260A74B2770438,,,1,,,,,,,,,,,14.32,,,Overhead power/telephone cable,,,,180000,,,,19990529,"US,US,graph,chart 11322"
242,2,2,21,1,550,175420052,1080,02260A74B2940438,,,1,,,,,,,,,,,14.32,,,Overhead power/telephone cable,,,,180000,,,,19990529,"US,US,graph,chart 11322"
243,2,2,21,1,550,175420194,1080,02260A74B3220438,,,1,,,,,,,,,,,14.93,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
244,2,2,21,1,550,175420292,1080,02260A74B3840438,,,1,,,,,,,,,,,14.93,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
245,2,2,21,1,550,175420518,1080,02260A74B4660438,,,1,,,,,,,,,,,17.67,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
246,2,2,21,1,550,175413218,1080,02260A7497E20438,,,1,,,,,,,,,,,29.56,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
247,2,2,21,1,550,175415516,1080,02260A74A0DC0438,,,1,,,,,,,,,,,22.55,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
248,2,2,21,1,550,175417036,1080,02260A74A6CC0438,,,1,,,,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
249,2,2,21,1,550,175417052,1080,02260A74A6DC0438,,,1,,,,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
250,2,2,21,1,550,175417067,1080,02260A74A6EB0438,,,1,,,,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
251,2,2,21,1,550,175518224,1080,02260A7632100438,,,1,,,,,,,,,,,23.77,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
