RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATCOA,COLOUR,CONRAD,CONVIS,ELEVAT,NOBJNM,OBJNAM,VERACC,VERDAT,INFORM,NINFOM,NTXTDS,PICREP,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
252,2,2,30,1,550,175444090,1080,02260A75107A0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
253,2,2,30,1,550,116330223,1247,022606EF0EEF04DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
254,2,2,30,1,550,116330218,1247,022606EF0EEA04DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
255,2,2,30,1,550,116335480,1247,022606EF237804DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
256,2,2,30,1,550,175443563,1080,02260A750E6B0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
257,2,2,30,1,550,175443456,1080,02260A750E000438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
258,2,2,30,1,550,175443471,1080,02260A750E0F0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
259,2,2,30,1,550,175443595,1080,02260A750E8B0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
260,2,2,30,1,550,175443610,1080,02260A750E9A0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
261,2,2,30,1,550,175443656,1080,02260A750EC80438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
262,2,2,30,1,550,175443776,1080,02260A750F400438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
263,2,2,30,1,550,175443791,1080,02260A750F4F0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
264,2,2,30,1,550,175443805,1080,02260A750F5D0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
265,2,2,30,1,550,175443820,1080,02260A750F6C0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
266,2,2,30,1,550,175443835,1080,02260A750F7B0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
267,2,2,30,1,550,175443880,1080,02260A750FA80438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
268,2,2,30,1,550,175444105,1080,02260A7510890438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
269,2,2,30,1,550,175444254,1080,02260A75111E0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
270,2,2,30,1,550,175444269,1080,02260A75112D0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
271,2,2,30,1,550,175444284,1080,02260A75113C0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
272,2,2,30,1,550,115540904,1247,022606E303A804DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
273,2,2,30,1,550,115540867,1247,022606E3038304DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
274,2,2,30,1,550,115551526,1247,022606E32D2604DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
275,2,2,30,1,550,115551508,1247,022606E32D1404DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
276,2,2,30,1,550,115571617,1247,022606E37BA104DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
277,2,2,30,1,550,115571596,1247,022606E37B8C04DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
278,2,2,30,1,550,115811421,1247,022606E7245D04DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
279,2,2,30,1,550,116335491,1247,022606EF238304DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
280,2,2,30,1,550,175408358,1080,02260A7484E60438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
281,2,2,30,1,550,175447746,1080,02260A751EC20438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
282,2,2,30,1,550,116070668,1246,022606EB190C04DE,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
283,2,2,30,1,550,116232614,1247,022606ED91A604DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
284,2,2,30,1,550,175433930,1080,02260A74E8CA0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
285,2,2,30,1,550,175434226,1080,02260A74E9F20438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
286,2,2,30,1,550,175434259,1080,02260A74EA130438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
287,2,2,30,1,550,175443939,1080,02260A750FE30438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
288,2,2,30,1,550,175443985,1080,02260A7510110438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
289,2,2,30,1,550,175444000,1080,02260A7510200438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
290,2,2,30,1,550,175444015,1080,02260A75102F0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
291,2,2,30,1,550,175444030,1080,02260A75103E0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
292,2,2,30,1,550,175444045,1080,02260A75104D0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
293,2,2,30,1,550,175444059,1080,02260A75105B0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
294,2,2,30,1,550,175444074,1080,02260A75106A0438,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
295,2,2,30,1,550,175444142,1080,02260A7510AE0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
296,2,2,30,1,550,116234341,1246,022606ED986504DE,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
297,2,2,30,1,550,116234267,1246,022606ED981B04DE,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
298,2,2,30,1,550,116191541,1247,022606ECF13504DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
299,2,2,30,1,550,116202322,1247,022606ED1B5204DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
300,2,2,30,1,550,116202313,1247,022606ED1B4904DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
301,2,2,30,1,550,116209035,1247,022606ED358B04DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
302,2,2,30,1,550,116209027,1247,022606ED358304DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
303,2,2,30,1,550,116224636,1247,022606ED727C04DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
304,2,2,30,1,550,116224627,1247,022606ED727304DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
305,2,2,30,1,550,116232627,1247,022606ED91B304DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
306,2,2,30,1,550,116232622,1247,022606ED91AE04DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
307,2,2,30,1,550,116262727,1247,022606EE074704DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
308,2,2,30,1,550,116262700,1247,022606EE072C04DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
309,2,2,30,1,550,116283505,1247,022606EE587104DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
310,2,2,30,1,550,116303892,1247,022606EEA81404DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
311,2,2,30,1,550,116303887,1247,022606EEA80F04DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
312,2,2,30,1,550,116311985,1247,022606EEC7B104DF,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
313,2,2,30,1,550,116311972,1247,022606EEC7A404DF,,,8,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
314,2,2,30,1,550,175416477,1080,02260A74A49D0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
315,2,2,30,1,550,175420905,1080,02260A74B5E90438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
316,2,2,30,1,550,175421887,1080,02260A74B9BF0438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
317,2,2,30,1,550,175422099,1080,02260A74BA930438,,,,,,,,,,,,,,,,,75000,,,,19990529,"US,US,graph,chart 11322"
