RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,DRVAL1,DRVAL2,QUASOU,SOUACC,VERDAT,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
475,2,2,42,1,550,115117351,1287,022606DC8D270507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
476,2,2,42,1,550,115117354,1287,022606DC8D2A0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
477,2,2,42,1,550,115117391,1287,022606DC8D4F0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
478,2,2,42,1,550,115119917,1287,022606DC972D0507,,,-0.51,3.65,,,,,,,,45000,,,,,"US,US"
479,2,2,42,1,550,115119921,1287,022606DC97310507,,,-0.51,3.65,,,,,,,,45000,,,,,"US,US"
480,3,1,42,1,550,175395425,1080,02260A7452610438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
481,3,1,42,1,550,175396831,1080,02260A7457DF0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
482,3,1,42,1,550,175396844,1080,02260A7457EC0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
483,3,1,42,1,550,175396857,1080,02260A7457F90438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
484,3,1,42,1,550,175396871,1080,02260A7458070438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
485,3,1,42,1,550,175396884,1080,02260A7458140438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
486,3,1,42,1,550,175396897,1080,02260A7458210438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
487,3,1,42,1,550,175396910,1080,02260A74582E0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
488,3,1,42,1,550,175396923,1080,02260A74583B0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
489,3,1,42,1,550,175396935,1080,02260A7458470438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
490,3,1,42,1,550,175396948,1080,02260A7458540438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
491,3,1,42,1,550,175396975,1080,02260A74586F0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
492,3,1,42,1,550,175397017,1080,02260A7458990438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
493,3,1,42,1,550,175397031,1080,02260A7458A70438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
494,3,1,42,1,550,175397071,1080,02260A7458CF0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
495,3,1,42,1,550,175397084,1080,02260A7458DC0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
496,3,1,42,1,550,175397202,1080,02260A7459520438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
497,3,1,42,1,550,175397233,1080,02260A7459710438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
498,3,1,42,1,550,175400134,1080,02260A7464C60438,,,0,1.82,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
499,3,1,42,1,550,175400467,1080,02260A7466130438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
500,3,1,42,1,550,175400541,1080,02260A74665D0438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
501,3,1,42,1,550,175400832,1080,02260A7467800438,,,1.82,3.65,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
502,3,1,42,1,550,175400848,1080,02260A7467900438,,,1.82,3.65,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
503,3,1,42,1,550,175401254,1080,02260A7469260438,,,3.65,5.48,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
504,3,1,42,1,550,175401340,1080,02260A74697C0438,,,5.48,9.14,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
505,2,2,42,1,550,115116992,1287,022606DC8BC00507,,,0,1.82,,,,,,,,45000,,,,,"US,US"
