RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,VALDCO,VERDAT,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
1503,2,2,43,1,550,175424972,1080,02260A74C5CC0438,,,1.82,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1504,2,2,43,1,550,175424986,1080,02260A74C5DA0438,,,0,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1505,2,2,43,1,550,175425001,1080,02260A74C5E90438,,,3.65,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1506,2,2,43,1,550,175443578,1080,02260A750E7A0438,,,0.91,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1507,2,2,43,1,550,175443640,1080,02260A750EB80438,,,0.91,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1508,2,2,43,1,550,175443971,1080,02260A7510030438,,,0,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1509,2,2,43,1,550,175444238,1080,02260A75110E0438,,,5.48,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1510,2,2,43,1,550,175444299,1080,02260A75114B0438,,,0.91,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1511,2,2,43,1,550,175433822,1080,02260A74E85E0438,,,0,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1512,2,2,43,1,550,175433991,1080,02260A74E9070438,,,0,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1513,2,2,43,1,550,175434007,1080,02260A74E9170438,,,0,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1514,2,2,43,1,550,175434023,1080,02260A74E9270438,,,0,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1515,2,2,43,1,550,175434069,1080,02260A74E9550438,,,0,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1516,2,2,43,1,550,175434085,1080,02260A74E9650438,,,0,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1517,2,2,43,1,550,175434390,1080,02260A74EA960438,,,0,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1518,2,2,43,1,550,175434421,1080,02260A74EAB50438,,,0,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1519,2,2,43,1,550,175416461,1080,02260A74A48D0438,,,0,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1520,2,2,43,1,550,175416519,1080,02260A74A4C70438,,,0,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1521,2,2,43,1,550,175424093,1080,02260A74C25D0438,,,5.48,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1522,2,2,43,1,550,175447977,1080,02260A751FA90438,,,1.82,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1523,2,2,43,1,550,175447993,1080,02260A751FB90438,,,3.65,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1524,2,2,43,1,550,175448009,1080,02260A751FC90438,,,1.82,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1525,2,2,43,1,550,175448025,1080,02260A751FD90438,,,5.48,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1526,2,2,43,1,550,175448042,1080,02260A751FEA0438,,,9.14,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1527,2,2,43,1,550,175448058,1080,02260A751FFA0438,,,5.48,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1528,2,2,43,1,550,175448073,1080,02260A7520090438,,,3.65,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1529,2,2,43,1,550,175448087,1080,02260A7520170438,,,5.48,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1530,2,2,43,1,550,175448103,1080,02260A7520270438,,,9.14,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1531,2,2,43,1,550,175423917,1080,02260A74C1AD0438,,,0.91,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1532,2,2,43,1,550,175411410,1080,02260A7490D20438,,,0,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1533,2,2,43,1,550,175425972,1080,02260A74C9B40438,,,1.82,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1534,2,2,43,1,550,175425989,1080,02260A74C9C50438,,,3.65,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1535,2,2,43,1,550,175426006,1080,02260A74C9D60438,,,5.48,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1536,2,2,43,1,550,175437277,1080,02260A74F5DD0438,,,0,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1537,2,2,43,1,550,175439203,1080,02260A74FD630438,,,0,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
1538,2,2,43,1,550,175439220,1080,02260A74FD740438,,,0,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
