RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,DRVAL1,DRVAL2,NOBJNM,OBJNAM,QUASOU,RESTRN,SOUACC,TECSOU,VERDAT,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
1563,3,1,46,1,550,175375568,1080,02260A7404D00438,,,3.65,,,Intracoastal Waterway,11,,,,,,,,,,USECX51E.TXT,,,19990529,"US,US,graph,chart 11322"
1564,3,1,46,1,550,175490846,1080,02260A75C71E0438,,,0.91,,,,10,,,,,,,,,,,,,19990425,"US,US,reprt,L-867/99"
1565,3,1,46,1,550,175490866,1080,02260A75C7320438,,,1.21,,,,10,,,,,,,,,,,,,19990425,"US,US,reprt,L-867/99"
1566,3,1,46,1,550,173815971,1115,02260A5C38A3045B,,,1.21,,,,10,,,,,,,,,,,,,19990425,"US,US,reprt,L-867/99"
1567,3,1,46,1,550,235360025,1128,02260E074F190468,,,11.58,,,"Freeport Harbor Channel, Brazos Harbor Approach Channel, ROQ",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-570/01"
1568,3,1,46,1,550,235359945,1128,02260E074EC90468,,,11.58,,,"Freeport Harbor Channel, Brazos Harbor Turning Basin, ROQ",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-570/01"
1569,3,1,46,1,550,235361535,1128,02260E0754FF0468,,,11.27,,,"Freeport Harbor Channel, Brazos Harbor Approach Channel, LOQ",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-570/01"
1570,3,1,46,1,550,235361515,1128,02260E0754EB0468,,,11.88,,,"Freeport Harbor Channel, Brazos Harbor Approach Channel, Middle Half",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-570/01"
1571,3,1,46,1,550,235361496,1128,02260E0754D80468,,,10.66,,,"Freeport Harbor Channel, Brazos Harbor Turning Basin, LOQ",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-570/01"
1572,3,1,46,1,550,235361475,1128,02260E0754C30468,,,11.27,,,"Freeport Harbor Channel, Brazos Harbor Turning Basin, Middle Half",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-570/01"
1573,3,1,46,1,550,175374893,1080,02260A74022D0438,,,13.1,,,"Freeport Harbor Channel, Jetty Channel, Middle Half",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-570/01"
1574,3,1,46,1,550,175374992,1080,02260A7402900438,,,13.41,,,"Freeport Harbor Channel, Channel to Upper Turning Basin, ROQ",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-570/01"
1575,3,1,46,1,550,175375020,1080,02260A7402AC0438,,,11.43,,,,10,,,,,,,,,,,,,19920000,"US,US,graph, chart 11322"
1576,3,1,46,1,550,175375034,1080,02260A7402BA0438,,,15.24,,,,10,,,,,,,,,,,,,19920000,"US,US,graph, chart 11322"
1577,3,1,46,1,550,175375062,1080,02260A7402D60438,,,1.52,,,,10,,,,,,,,,,,,,19990425,"US,US,reprt,L-867/99"
1578,3,1,46,1,550,175375531,1080,02260A7404AB0438,,,12.49,,,"Freeport Harbor Channel, Channel from Deep Water to Seaward End of Jetty, LOQ",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-570/01"
1579,3,1,46,1,550,175490643,1080,02260A75C6530438,,,13.1,,,"Freeport Harbor Channel, Brazos Port Turning Basin, LOQ",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-570/01"
1580,3,1,46,1,550,175490679,1080,02260A75C6770438,,,10.66,,,"Freeport Harbor Channel, Channel to Upper Turning Basin, LOQ",11,,,,,,,,,,,,,20010200,"US,US,reprt,L-570/01"
1581,3,1,46,1,550,175490733,1080,02260A75C6AD0438,,,14.02,,,"Freeport Harbor Channel, Channel to Upper Turning Basin, Middle Half",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-570/01"
1582,3,1,46,1,550,175490886,1080,02260A75C7460438,,,0.91,,,,10,,,,,,,,,,,,,19990425,"US,US,reprt,L-867/99"
1583,3,1,46,1,550,175490925,1080,02260A75C76D0438,,,13.41,,,"Freeport Harbor Channel, Channel from Deep Water to Seaward End of Jetty, Middle Half",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-570/01"
1584,3,1,46,1,550,175490944,1080,02260A75C7800438,,,12.49,,,"Freeport Harbor Channel, Channel from Deep Water to Seaward End of Jetty, ROQ",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-570/01"
1585,3,1,46,1,550,235334744,1128,02260E06EC580468,,,14.93,,,"Freeport Harbor Channel, Upper Turning Basin",10,,,,,,,,,,,,,20000500,"US,US,reprt,L-1779/00,CO-30/00"
1586,3,1,46,1,550,114460116,1268,022606D285D404F4,,,12.8,,,"Freeport Harbor Channel, Jetty Channel, LOQ",10,,,,,Depth begins approximately 20 feet inside of the channel toe.,,,,,,,,20010200,"US,US,reprt,L-570/01"
1587,3,1,46,1,550,114460106,1268,022606D285CA04F4,,,12.8,,,"Freeport Harbor Channel, Jetty Channel, LOQ",10,,,,,Caution: Depths in this part of the channel may be shoaler than indicated.,,,,,,,,20010200,"US,US,reprt,L-570/01"
1588,3,1,46,1,550,114542483,1268,022606D3C79304F4,,,10.05,,,"Freeport Harbor Channel, Jetty Channel, ROQ",10,,,,,Caution: Depths in this part of the channel may be shoaler than indicated.,,,,,,,,20010200,"US,US,reprt,L-570/01"
1589,3,1,46,1,550,114542470,1268,022606D3C78604F4,,,10.05,,,"Freeport Harbor Channel, Jetty Channel, ROQ",10,,,,,Depth begins approximately 20 feet inside of the channel toe.,,,,,,,,20010200,"US,US,reprt,L-570/01"
1590,3,1,46,1,550,235378657,1128,02260E0797E10468,,,5.48,,,"Freeport Harbor Channel, Stauffer Turning Basin, LOQ",11,,,,,,,,,,,,,19881100,"US,US,graph,chart 11322"
1591,3,1,46,1,550,235466178,1128,02260E08EDC20468,,,5.48,,,"Freeport Harbor Channel, Stauffer Turning Basin, Middle Half",11,,,,,,,,,,,,,19881100,"US,US,graph,chart 11322"
1592,3,1,46,1,550,175374906,1080,02260A74023A0438,,,12.19,,,,10,,,,,,,,,,,,,19980418,"US,US,graph, chart 11322"
1593,3,1,46,1,550,175374921,1080,02260A7402490438,,,11.27,,,"Freeport Harbor Channel, Lower Turning Basin, LOQ",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-1779/00,CO-30/00"
1594,3,1,46,1,550,175375048,1080,02260A7402C80438,,,12.8,,,"Freeport Harbor Channel, Brazos Port Turning Basin, ROQ",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-570/01"
1595,3,1,46,1,550,175490462,1080,02260A75C59E0438,,,13.1,,,"Freeport Harbor Channel, Lower Turning Basin, Middle Half",10,,,,,,,,,,,,,20010200,"US,US,reprt,L-1779/00,CO-30/00"
