RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CONDTN,CONRAD,DATEND,DATSTA,HEIGHT,NATCON,VERACC,VERDAT,VERLEN,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
1609,2,2,49,1,550,175443486,1080,02260A750E1E0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1610,2,2,49,1,550,175443502,1080,02260A750E2E0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1611,2,2,49,1,550,175443671,1080,02260A750ED70438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1612,2,2,49,1,550,175443701,1080,02260A750EF50438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1613,2,2,49,1,550,175443716,1080,02260A750F040438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1614,2,2,49,1,550,175443730,1080,02260A750F120438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1615,2,2,49,1,550,175443746,1080,02260A750F220438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1616,2,2,49,1,550,175443761,1080,02260A750F310438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1617,2,2,49,1,550,175443686,1080,02260A750EE60438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1618,2,2,49,1,550,175443850,1080,02260A750F8A0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1619,2,2,49,1,550,175443865,1080,02260A750F990438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1620,2,2,49,1,550,175434531,1080,02260A74EB230438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1621,2,2,49,1,550,175434730,1080,02260A74EBEA0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1622,2,2,49,1,550,175434746,1080,02260A74EBFA0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1623,2,2,49,1,550,175443895,1080,02260A750FB70438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1624,2,2,49,1,550,175443909,1080,02260A750FC50438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1625,2,2,49,1,550,175443924,1080,02260A750FD40438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1626,2,2,49,1,550,175406905,1080,02260A747F390438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1627,2,2,49,1,550,234666226,1133,02260DFCB8F2046D,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1628,2,2,49,1,550,175421946,1080,02260A74B9FA0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1629,2,2,49,1,550,175422701,1080,02260A74BCED0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1630,2,2,49,1,550,175422715,1080,02260A74BCFB0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1631,2,2,49,1,550,175422729,1080,02260A74BD090438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1632,2,2,49,1,550,175422743,1080,02260A74BD170438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1633,2,2,49,1,550,175422758,1080,02260A74BD260438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1634,2,2,49,1,550,175422771,1080,02260A74BD330438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1635,2,2,49,1,550,175422786,1080,02260A74BD420438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1636,2,2,49,1,550,175422801,1080,02260A74BD510438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1637,2,2,49,1,550,175422815,1080,02260A74BD5F0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1638,2,2,49,1,550,175422828,1080,02260A74BD6C0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1639,2,2,49,1,550,175422842,1080,02260A74BD7A0438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1640,2,2,49,1,550,175422856,1080,02260A74BD880438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1641,2,2,49,1,550,175422912,1080,02260A74BDC00438,,,,,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
