RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,ELEVAT,NOBJNM,OBJNAM,VERACC,VERDAT,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
1723,3,2,69,1,550,175393248,1080,02260A7449E00438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1724,3,2,69,1,550,175393261,1080,02260A7449ED0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1725,3,2,69,1,550,175393274,1080,02260A7449FA0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1726,3,2,69,1,550,175393286,1080,02260A744A060438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1727,3,2,69,1,550,175393364,1080,02260A744A540438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1728,3,2,69,1,550,175393377,1080,02260A744A610438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1729,3,2,69,1,550,175393389,1080,02260A744A6D0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1730,3,2,69,1,550,175393402,1080,02260A744A7A0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1731,3,2,69,1,550,175393299,1080,02260A744A130438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1732,3,2,69,1,550,175392698,1080,02260A7447BA0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1733,3,2,69,1,550,175392712,1080,02260A7447C80438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1734,3,2,69,1,550,175392739,1080,02260A7447E30438,,,,,McNeal Lake,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1735,3,2,69,1,550,175392753,1080,02260A7447F10438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1736,3,2,69,1,550,175392766,1080,02260A7447FE0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1737,3,2,69,1,550,175392778,1080,02260A74480A0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1738,3,2,69,1,550,175392791,1080,02260A7448170438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1739,3,2,69,1,550,175392804,1080,02260A7448240438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1740,3,2,69,1,550,175392817,1080,02260A7448310438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1741,3,2,69,1,550,175392829,1080,02260A74483D0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1742,3,2,69,1,550,175392842,1080,02260A74484A0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1743,3,2,69,1,550,175392856,1080,02260A7448580438,,,,,Pelican Lake,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1744,3,2,69,1,550,175393313,1080,02260A744A210438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1745,3,2,69,1,550,175393326,1080,02260A744A2E0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1746,3,2,69,1,550,175393338,1080,02260A744A3A0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1747,3,2,69,1,550,175393351,1080,02260A744A470438,,,,,Cowtrap Lakes,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1748,3,2,69,1,550,175393415,1080,02260A744A870438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1749,3,2,69,1,550,175392521,1080,02260A7447090438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1750,3,2,69,1,550,175392534,1080,02260A7447160438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1751,3,2,69,1,550,175392547,1080,02260A7447230438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1752,3,2,69,1,550,175392559,1080,02260A74472F0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1753,3,2,69,1,550,175392573,1080,02260A74473D0438,,,,,Bryan Lake,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1754,3,2,69,1,550,175392588,1080,02260A74474C0438,,,,,Mud Pit,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1755,3,2,69,1,550,175392605,1080,02260A74475D0438,,,,,Old Reservoir,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1756,3,2,69,1,550,175392726,1080,02260A7447D60438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1757,3,2,69,1,550,175392496,1080,02260A7446F00438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1758,3,2,69,1,550,175392509,1080,02260A7446FD0438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
1759,3,2,69,1,550,175392407,1080,02260A7446970438,,,,,,,,,,,,260000,,,,19990529,"US,US,graph,chart 11322"
