RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CONDTN,NOBJNM,OBJNAM,STATUS,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
1802,3,1,71,1,550,175389455,1080,02260A743B0F0438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1803,3,1,71,1,550,175389738,1080,02260A743C2A0438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1804,3,1,71,1,550,175387909,1080,02260A7435050438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1805,3,1,71,1,550,175389418,1080,02260A743AEA0438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1806,3,1,71,1,550,175389430,1080,02260A743AF60438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1807,3,1,71,1,550,175389443,1080,02260A743B030438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1808,3,1,71,1,550,175389470,1080,02260A743B1E0438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1809,3,1,71,1,550,175389482,1080,02260A743B2A0438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1810,3,1,71,1,550,175389495,1080,02260A743B370438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1811,3,1,71,1,550,175389508,1080,02260A743B440438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1812,3,1,71,1,550,175389521,1080,02260A743B510438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1813,3,1,71,1,550,175389534,1080,02260A743B5E0438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1814,3,1,71,1,550,175389547,1080,02260A743B6B0438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1815,3,1,71,1,550,175389560,1080,02260A743B780438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1816,3,1,71,1,550,175389573,1080,02260A743B850438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1817,3,1,71,1,550,175389586,1080,02260A743B920438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1818,3,1,71,1,550,175389598,1080,02260A743B9E0438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1819,3,1,71,1,550,175389611,1080,02260A743BAB0438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1820,3,1,71,1,550,175389624,1080,02260A743BB80438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1821,3,1,71,1,550,175389751,1080,02260A743C370438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1822,3,1,71,1,550,175389855,1080,02260A743C9F0438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1823,3,1,71,1,550,175389868,1080,02260A743CAC0438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1824,3,1,71,1,550,175387455,1080,02260A74333F0438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1825,3,1,71,1,550,175389636,1080,02260A743BC40438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1826,3,1,71,1,550,175389649,1080,02260A743BD10438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1827,3,1,71,1,550,175389662,1080,02260A743BDE0438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1828,3,1,71,1,550,175389675,1080,02260A743BEB0438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1829,3,1,71,1,550,175389688,1080,02260A743BF80438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1830,3,1,71,1,550,175389700,1080,02260A743C040438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1831,3,1,71,1,550,175389713,1080,02260A743C110438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1832,3,1,71,1,550,175389726,1080,02260A743C1E0438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1833,3,1,71,1,550,175389764,1080,02260A743C440438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1834,3,1,71,1,550,175389778,1080,02260A743C520438,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
1835,3,1,71,1,550,236079608,1132,02260E1249F8046C,,,,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
