RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATLND,NATQUA,NATSUR,NOBJNM,OBJNAM,WATLEV,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
1909,3,2,73,1,550,175383703,1080,02260A7424970438,,,2,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
1910,3,2,73,1,550,175381199,1080,02260A741ACF0438,,,2,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
1911,3,2,73,1,550,175383551,1080,02260A7423FF0438,,,2,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
1912,3,2,73,1,550,175383566,1080,02260A74240E0438,,,2,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
1913,3,2,73,1,550,175383581,1080,02260A74241D0438,,,2,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
1914,3,2,73,1,550,175383594,1080,02260A74242A0438,,,2,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
1915,3,2,73,1,550,175383608,1080,02260A7424380438,,,2,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
1916,3,2,73,1,550,175383621,1080,02260A7424450438,,,2,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
1917,3,2,73,1,550,175383635,1080,02260A7424530438,,,2,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
1918,3,2,73,1,550,175383649,1080,02260A7424610438,,,2,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
1919,3,2,73,1,550,175383661,1080,02260A74246D0438,,,2,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
1920,3,2,73,1,550,175383675,1080,02260A74247B0438,,,2,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
1921,3,2,73,1,550,175383688,1080,02260A7424880438,,,2,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
1922,3,2,73,1,550,175383818,1080,02260A74250A0438,,,2,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
