RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATOBS,CONDTN,EXPSOU,HEIGHT,NATCON,NATQUA,NOBJNM,OBJNAM,PRODCT,QUASOU,SOUACC,STATUS,TECSOU,VALSOU,VERACC,VERDAT,VERLEN,WATLEV,NATSUR,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
2043,1,2,86,1,550,175518858,1080,02260A76348A0438,,,1,,,,,,,,,2,,,,,,,,3,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2044,1,2,86,1,550,175451176,1080,02260A752C280438,,,1,,,,,,,,,2,,,,,,,,3,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2045,1,2,86,1,550,175518843,1080,02260A76347B0438,,,1,,,,,,,,,2,,,,,,,,3,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2046,1,2,86,1,550,175457576,1080,02260A7545280438,,,,,,,,,,,,2,,,,,,,,3,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2047,1,2,86,1,550,175518874,1080,02260A76349A0438,,,1,,,,,,,,,2,,,,,,,,3,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2048,1,2,86,1,550,175518891,1080,02260A7634AB0438,,,1,,,,,,,,,2,,,,,,,,3,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2049,1,2,86,1,550,175518907,1080,02260A7634BB0438,,,1,,,,,,,,,2,,,,,,,,3,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2050,1,2,86,1,550,175518923,1080,02260A7634CB0438,,,1,,,,,,,,,2,,,,,,,,3,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2051,1,2,86,1,550,175518939,1080,02260A7634DB0438,,,1,,,,,,,,,2,,,,,,,,3,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2052,1,2,86,1,550,175518955,1080,02260A7634EB0438,,,1,,,,,,,,,2,,,,,,,,3,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2053,1,2,86,1,550,175518970,1080,02260A7634FA0438,,,1,,,,,,,,,2,,,,,,,,3,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2054,1,2,86,1,550,175518985,1080,02260A7635090438,,,1,,,,,,,,,2,,,,,,,,3,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2055,1,2,86,1,550,175519000,1080,02260A7635180438,,,1,,,,,,,,,2,,,,,,,,3,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2056,1,2,86,1,550,175519017,1080,02260A7635290438,,,1,,,,,,,,,2,,,,,,,,3,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2057,1,2,86,1,550,175519033,1080,02260A7635390438,,,1,,,,,,,,,2,,,,,,,,3,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2058,1,2,86,1,550,175519049,1080,02260A7635490438,,,1,,,,,,,,,2,,,,,,,,3,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2059,1,2,86,1,550,175519066,1080,02260A76355A0438,,,1,,,,,,,,,2,,,,,,,,3,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
