RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATPLE,COLOUR,COLPAT,CONDTN,CONVIS,DATEND,DATSTA,HEIGHT,NOBJNM,OBJNAM,VERACC,VERDAT,VERLEN,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
2076,1,2,90,1,550,175460612,1080,02260A7551040438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2077,1,2,90,1,550,175460629,1080,02260A7551150438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2078,1,2,90,1,550,175460645,1080,02260A7551250438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2079,1,2,90,1,550,175460662,1080,02260A7551360438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2080,1,2,90,1,550,175460677,1080,02260A7551450438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2081,1,2,90,1,550,175460694,1080,02260A7551560438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2082,1,2,90,1,550,175460710,1080,02260A7551660438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2083,1,2,90,1,550,175460726,1080,02260A7551760438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2084,1,2,90,1,550,175460742,1080,02260A7551860438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2085,1,2,90,1,550,175460758,1080,02260A7551960438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2086,1,2,90,1,550,175457624,1080,02260A7545580438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2087,1,2,90,1,550,175457657,1080,02260A7545790438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2088,1,2,90,1,550,175457673,1080,02260A7545890438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2089,1,2,90,1,550,175457689,1080,02260A7545990438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2090,1,2,90,1,550,175457705,1080,02260A7545A90438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2091,1,2,90,1,550,175457721,1080,02260A7545B90438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2092,1,2,90,1,550,175457737,1080,02260A7545C90438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2093,1,2,90,1,550,175457752,1080,02260A7545D80438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2094,1,2,90,1,550,175457768,1080,02260A7545E80438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2095,1,2,90,1,550,175457784,1080,02260A7545F80438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2096,1,2,90,1,550,175457800,1080,02260A7546080438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2097,1,2,90,1,550,175457816,1080,02260A7546180438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2098,1,2,90,1,550,175457832,1080,02260A7546280438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2099,1,2,90,1,550,175460775,1080,02260A7551A70438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2100,1,2,90,1,550,175460792,1080,02260A7551B80438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2101,1,2,90,1,550,175460841,1080,02260A7551E90438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2102,1,2,90,1,550,175460858,1080,02260A7551FA0438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2103,1,2,90,1,550,175460874,1080,02260A75520A0438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2104,1,2,90,1,550,175460890,1080,02260A75521A0438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2105,1,2,90,1,550,175460906,1080,02260A75522A0438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2106,1,2,90,1,550,175370534,1080,02260A73F1260438,,,3,,,,,,,,,,,,,,,,,45000,,,,19980418,"US,US,graph,chart 11322"
2107,1,2,90,1,550,175370559,1080,02260A73F13F0438,,,3,,,,,,,,,,,,,,,,,45000,,,,19980418,"US,US,graph,chart 11322"
2108,1,2,90,1,550,175370571,1080,02260A73F14B0438,,,3,,,,,,,,,,,,,,,,,45000,,,,19980418,"US,US,graph,chart 11322"
2109,1,2,90,1,550,175370582,1080,02260A73F1560438,,,3,,,,,,,,,,,,,,,,,45000,,,,19980418,"US,US,graph,chart 11322"
2110,1,2,90,1,550,175370594,1080,02260A73F1620438,,,3,,,,,,,,,,,,,,,,,45000,,,,19980418,"US,US,graph,chart 11322"
2111,1,2,90,1,550,175370607,1080,02260A73F16F0438,,,3,,,,,,,,,,,,,,,,,45000,,,,19980418,"US,US,graph,chart 11322"
2112,1,2,90,1,550,175370618,1080,02260A73F17A0438,,,3,,,,,,,,,,,,,,,,,45000,,,,19980418,"US,US,graph,chart 11322"
2113,1,2,90,1,550,175370630,1080,02260A73F1860438,,,3,,,,,,,,,,,,,,,,,45000,,,,19980418,"US,US,graph,chart 11322"
2114,1,2,90,1,550,175453747,1080,02260A7536330438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2115,1,2,90,1,550,175453763,1080,02260A7536430438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2116,1,2,90,1,550,175453779,1080,02260A7536530438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2117,1,2,90,1,550,175453795,1080,02260A7536630438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2118,1,2,90,1,550,175453829,1080,02260A7536850438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2119,1,2,90,1,550,175453976,1080,02260A7537180438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2120,1,2,90,1,550,175453992,1080,02260A7537280438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2121,1,2,90,1,550,175454023,1080,02260A7537470438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2122,1,2,90,1,550,175454039,1080,02260A7537570438,,,3,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
2123,1,2,90,1,550,175370642,1080,02260A73F1920438,,,3,,,,,,,,,,,,,,,,,45000,,,,19980418,"US,US,graph,chart 11322"
2124,1,2,90,1,550,175370653,1080,02260A73F19D0438,,,3,,,,,,,,,,,,,,,,,45000,,,,19980418,"US,US,graph,chart 11322"
2125,1,2,90,1,550,175370666,1080,02260A73F1AA0438,,,3,,,,,,,,,,,,,,,,,45000,,,,19980418,"US,US,graph,chart 11322"
2126,1,2,90,1,550,175370678,1080,02260A73F1B60438,,,3,,,,,,,,,,,,,,,,,45000,,,,19980418,"US,US,graph,chart 11322"
2127,1,2,90,1,550,175370690,1080,02260A73F1C20438,,,3,,,,,,,,,,,,,,,,,45000,,,,19980418,"US,US,graph,chart 11322"
