RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CONDTN,DATEND,DATSTA,NOBJNM,OBJNAM,PRODCT,RESTRN,STATUS,CATPIP,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
2184,3,2,92,1,550,175385636,1080,02260A742C240438,,,,,,,,,,,,,,,,350000,USCAU06A.TXT,,,19990529,"US,US,graph,chart 11322"
2185,3,2,92,1,550,175385679,1080,02260A742C4F0438,,,,,,,,,,,,,,,,350000,USCAU06A.TXT,,,19990529,"US,US,graph,chart 11322"
2186,3,2,92,1,550,175385833,1080,02260A742CE90438,,,,,,,,,,,,,,,,350000,USCAU06A.TXT,,,19990529,"US,US,graph,chart 11322"
2187,3,2,92,1,550,175385862,1080,02260A742D060438,,,,,,,,,,,,,,,,350000,USCAU06A.TXT,,,19990529,"US,US,graph,chart 11322"
2188,3,2,92,1,550,175385792,1080,02260A742CC00438,,,,,,,,,,,,,,,,350000,USCAU06A.TXT,,,19990529,"US,US,graph,chart 11322"
2189,3,2,92,1,550,175385819,1080,02260A742CDB0438,,,,,,,,,,,,,,,,350000,USCAU06A.TXT,,,19990529,"US,US,graph,chart 11322"
2190,3,2,92,1,550,175385751,1080,02260A742C970438,,,,,,,,,,,,,,,,350000,USCAU06A.TXT,,,19990529,"US,US,graph,chart 11322"
2191,3,2,92,1,550,175385765,1080,02260A742CA50438,,,,,,,,,,,,,,,,350000,USCAU06A.TXT,,,19990529,"US,US,graph,chart 11322"
2192,3,2,92,1,550,175385779,1080,02260A742CB30438,,,,,,,,,,,,,,,,350000,USCAU06A.TXT,,,19990529,"US,US,graph,chart 11322"
2193,3,2,92,1,550,175507999,1080,02260A760A1F0438,,,,,,,,,,,,,,,,350000,USCAU06A.TXT,,,19990529,"US,US,graph,chart 11322"
2194,3,2,92,1,550,175385736,1080,02260A742C880438,,,,,,,,,,,,,,,,350000,USCAU06A.TXT,,,19990529,"US,US,graph,chart 11322"
2195,3,2,92,1,550,175450686,1118,02260A752A3E045E,,,,,,,,,,,,,,,,350000,USCAU06A.TXT,,,19990529,"US,US,graph,chart 11322"
