RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CONDTN,HEIGHT,NOBJNM,OBJNAM,STATUS,VERACC,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
2200,2,2,106,1,550,175416143,1080,02260A74A34F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2201,2,2,106,1,550,175418422,1080,02260A74AC360438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2202,2,2,106,1,550,175404411,1080,02260A74757B0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2203,2,2,106,1,550,175404450,1080,02260A7475A20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2204,2,2,106,1,550,175404530,1080,02260A7475F20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2205,2,2,106,1,550,175404580,1080,02260A7476240438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2206,2,2,106,1,550,175404618,1080,02260A74764A0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2207,2,2,106,1,550,175404697,1080,02260A7476990438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2208,2,2,106,1,550,175404845,1080,02260A74772D0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2209,2,2,106,1,550,175404912,1080,02260A7477700438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2210,2,2,106,1,550,175405042,1080,02260A7477F20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2211,2,2,106,1,550,175405095,1080,02260A7478270438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2212,2,2,106,1,550,175405161,1080,02260A7478690438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2213,2,2,106,1,550,175405189,1080,02260A7478850438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2214,2,2,106,1,550,175405228,1080,02260A7478AC0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2215,2,2,106,1,550,175405269,1080,02260A7478D50438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2216,2,2,106,1,550,175405282,1080,02260A7478E20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2217,2,2,106,1,550,175405308,1080,02260A7478FC0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2218,2,2,106,1,550,175405655,1080,02260A747A570438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2219,2,2,106,1,550,175405844,1080,02260A747B140438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2220,2,2,106,1,550,175405870,1080,02260A747B2E0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2221,2,2,106,1,550,175405883,1080,02260A747B3B0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2222,2,2,106,1,550,175405896,1080,02260A747B480438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2223,2,2,106,1,550,175405976,1080,02260A747B980438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2224,2,2,106,1,550,175406408,1080,02260A747D480438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2225,2,2,106,1,550,175406436,1080,02260A747D640438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2226,2,2,106,1,550,175406474,1080,02260A747D8A0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2227,2,2,106,1,550,175406487,1080,02260A747D970438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2228,2,2,106,1,550,175406499,1080,02260A747DA30438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2229,2,2,106,1,550,175406512,1080,02260A747DB00438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
