RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATROD,CONDTN,NATCON,NOBJNM,OBJNAM,STATUS,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
2356,2,2,116,1,550,175408330,1080,02260A7484CA0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2357,2,2,116,1,550,175408344,1080,02260A7484D80438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2358,2,2,116,1,550,175408494,1080,02260A74856E0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2359,2,2,116,1,550,175408507,1080,02260A74857B0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2360,2,2,116,1,550,175409001,1080,02260A7487690438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2361,2,2,116,1,550,175409015,1080,02260A7487770438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2362,2,2,116,1,550,175409234,1080,02260A7488520438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2363,2,2,116,1,550,175409247,1080,02260A74885F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2364,2,2,116,1,550,175409279,1080,02260A74887F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2365,2,2,116,1,550,175434340,1080,02260A74EA640438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2366,2,2,116,1,550,234640642,1133,02260DFC5502046D,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2367,2,2,116,1,550,175404318,1080,02260A74751E0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2368,2,2,116,1,550,175404331,1080,02260A74752B0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2369,2,2,116,1,550,175404343,1080,02260A7475370438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2370,2,2,116,1,550,175404357,1080,02260A7475450438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2371,2,2,116,1,550,175404371,1080,02260A7475530438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2372,2,2,116,1,550,175404384,1080,02260A7475600438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2373,2,2,116,1,550,175404397,1080,02260A74756D0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2374,2,2,116,1,550,175408454,1080,02260A7485460438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2375,2,2,116,1,550,175408468,1080,02260A7485540438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2376,2,2,116,1,550,175408480,1080,02260A7485600438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2377,2,2,116,1,550,175423042,1080,02260A74BE420438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2378,2,2,116,1,550,175423072,1080,02260A74BE600438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2379,2,2,116,1,550,175423146,1080,02260A74BEAA0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2380,2,2,116,1,550,175434116,1080,02260A74E9840438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2381,2,2,116,1,550,175434131,1080,02260A74E9930438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2382,2,2,116,1,550,175434146,1080,02260A74E9A20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2383,2,2,116,1,550,175434162,1080,02260A74E9B20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2384,2,2,116,1,550,175434308,1080,02260A74EA440438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2385,2,2,116,1,550,175434324,1080,02260A74EA540438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2386,2,2,116,1,550,175434516,1080,02260A74EB140438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2387,2,2,116,1,550,175434762,1080,02260A74EC0A0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2388,2,2,116,1,550,175434924,1080,02260A74ECAC0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2389,2,2,116,1,550,175434939,1080,02260A74ECBB0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2390,2,2,116,1,550,175434955,1080,02260A74ECCB0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2391,2,2,116,1,550,175434971,1080,02260A74ECDB0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2392,2,2,116,1,550,175434987,1080,02260A74ECEB0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2393,2,2,116,1,550,175435003,1080,02260A74ECFB0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2394,2,2,116,1,550,175435019,1080,02260A74ED0B0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2395,2,2,116,1,550,175435036,1080,02260A74ED1C0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
