RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATSEA,NOBJNM,OBJNAM,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
3181,3,2,119,1,550,175373215,1080,02260A73FB9F0438,,,,,Cedar Lakes,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
3182,3,2,119,1,550,175373520,1080,02260A73FCD00438,,,,,Cowtrap Lake,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
3183,1,2,119,1,550,175488404,1080,02260A75BD940438,,,,,The Narrows,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
3184,3,2,119,1,550,175490403,1080,02260A75C5630438,,,,,Jones Lake,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
3185,3,2,119,1,550,233419659,1133,02260DE9B38B046D,,,,,San Bernard River,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
3186,3,2,119,1,550,234550663,1133,02260DFAF587046D,,,,,Gulf of Mexico,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
3187,1,2,119,1,550,175487800,1080,02260A75BB380438,,,,,Big Bend,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
3188,3,2,119,1,550,233418857,1133,02260DE9B069046D,,,,,Brazos River,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
3189,3,2,119,1,550,175371590,1080,02260A73F5460438,,,,,Freshwater Lake,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
3190,3,2,119,1,550,175372866,1080,02260A73FA420438,,,,,Oyster Creek,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
3191,3,2,119,1,550,175372947,1080,02260A73FA930438,,,,,Swan Lake,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
3192,3,2,119,1,550,234515066,1133,02260DFA6A7A046D,,,,,Drum Bay,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
