RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,BUISHP,CATSIL,COLOUR,COLPAT,CONDTN,CONRAD,CONVIS,ELEVAT,HEIGHT,NATCON,NOBJNM,OBJNAM,PRODCT,STATUS,VERACC,VERDAT,VERLEN,INFORM,NINFOM,NTXTDS,PICREP,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
3193,3,2,125,1,550,175374768,1080,02260A7401B00438,,,,2,,,,,,,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
3194,3,2,125,1,550,175508382,1080,02260A760B9E0438,,,,,,,,,,,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
3195,3,2,125,1,550,175508400,1080,02260A760BB00438,,,,,,,,,,,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
3196,3,2,125,1,550,175508420,1080,02260A760BC40438,,,,,,,,,,,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
3197,3,2,125,1,550,175508437,1080,02260A760BD50438,,,,,,,,,,,,,,,,,,,,,,,,,180000,,,,19990529,"US,US,graph,chart 11322"
3198,1,2,125,1,550,175461693,1080,02260A75553D0438,,,7,2,,,,,,,,,,,,,,,,Multiple tanks,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
3199,1,2,125,1,550,175450911,1080,02260A752B1F0438,,,7,2,,,,,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
3200,1,2,125,1,550,175450927,1080,02260A752B2F0438,,,7,2,,,,,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
3201,1,2,125,1,550,175453521,1080,02260A7535510438,,,7,2,,,,,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
3202,1,2,125,1,550,175453586,1080,02260A7535920438,,,7,2,,,,,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
3203,1,2,125,1,550,175453455,1080,02260A75350F0438,,,7,2,,,,,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
3204,1,2,125,1,550,175453505,1080,02260A7535410438,,,7,2,,,,,,,,,,,,,,,,,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
