RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATSCF,NOBJNM,OBJNAM,PEREND,PERSTA,STATUS,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
3457,1,2,128,1,550,175457270,1080,02260A7543F60438,,,"28,9,25,18,12,13",,Ben's Marina,,,,Approach 5 feet(reported).  Alongside 5 feet(reported).,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3458,1,2,128,1,550,175457593,1080,02260A7545390438,,,28,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3459,1,2,128,1,550,175457608,1080,02260A7545480438,,,28,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3460,1,2,128,1,550,175457640,1080,02260A7545680438,,,28,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3461,1,2,128,1,550,175454071,1080,02260A7537770438,,,28,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3462,1,2,128,1,550,175511474,1080,02260A7617B20438,,,28,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3463,1,2,128,1,550,175511489,1080,02260A7617C10438,,,28,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3464,1,2,128,1,550,175453555,1080,02260A7535730438,,,"29,5,18,12,9",,Corbitt Marine,,,,Approach 12 feet(reported).  Alongside 12 feet(reported).  Marine railway 125 feet.  Lift capacity 400 tons.,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3465,1,2,128,1,550,175453602,1080,02260A7535A20438,,,28,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3466,1,2,128,1,550,175453618,1080,02260A7535B20438,,,"1,29,28,14,18,5,9,12,13",,Mitchells Pier,,,,Approach 9 feet(reported).  Alongside 4 feet(reported).,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3467,1,2,128,1,550,175454134,1080,02260A7537B60438,,,28,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3468,1,2,128,1,550,175454149,1080,02260A7537C50438,,,28,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3469,1,2,128,1,550,175454166,1080,02260A7537D60438,,,28,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3470,1,2,128,1,550,175454182,1080,02260A7537E60438,,,28,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3471,1,2,128,1,550,175453292,1080,02260A75346C0438,,,28,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3472,1,2,128,1,550,175453355,1080,02260A7534AB0438,,,"1,29,14,5,9,6,18,16,17,12,13",,Bridge Harbor Yacht Club,,,,Approach 14 feet(reported).  Alongside 10 feet(reported).,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3473,1,2,128,1,550,175453405,1080,02260A7534DD0438,,,28,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3474,1,2,128,1,550,175453421,1080,02260A7534ED0438,,,"28,9,18,12",,Bridge Bait,,,,Approach 12 feet(reported).  Alongside 6 feet(reported).,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3475,1,2,128,1,550,175458109,1080,02260A75473D0438,,,"1,29,14,5,18,16,12,9,13",,Kirby Marina,,,,Approach 6 feet(reported).  Alongside 6 feet(reported).  Lift capacity 60 tons.,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3476,1,2,128,1,550,175458254,1080,02260A7547CE0438,,,28,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3477,1,2,128,1,550,175511459,1080,02260A7617A30438,,,28,,,,,,,,,,90000,,,,19990529,"US,US,graph,chart 11322"
3478,1,2,128,1,550,234719156,1129,02260DFD87B40469,,,"1,14,5,3,9,6,16,18,17,26,12,7,13,22",,Bridge Harbor Yacht Club,,,,Approach 10 feet (reported). Alongside 10.5 feet (reported).,,,,90000,,,,19991101,"US,US,reprt,L-291/00"
3479,1,2,128,1,550,235047815,1129,02260E028B870469,,,"1,29,28,9,18",,Bridge Bait,,,,Approach 12 feet (reported). Alongside 12 feet (reported).,,,,90000,,,,19991101,"US,US,reprt,L-292/00"
