RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATWRK,CONRAD,CONVIS,EXPSOU,HEIGHT,NOBJNM,OBJNAM,QUASOU,SOUACC,STATUS,TECSOU,VALSOU,VERACC,VERDAT,VERLEN,WATLEV,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
3490,1,2,159,1,550,175460809,1080,02260A7551C90438,,,2,,,,,,,2,,,,,,,,3,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
3491,1,2,159,1,550,175460923,1080,02260A75523B0438,,,2,,,,,,,2,,,,,,,,3,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
3492,1,2,159,1,550,175451141,1080,02260A752C050438,,,2,,,,,,,2,,,,,,,,3,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
3493,1,2,159,1,550,175454087,1080,02260A7537870438,,,2,,,,,,,2,,,,,,,,3,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
3494,1,2,159,1,550,175457203,1080,02260A7543B30438,,,5,,,,,,,,,,,,,,,2,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
3495,1,2,159,1,550,175457253,1080,02260A7543E50438,,,2,,,,,,,2,,,,,,,,3,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
3496,1,2,159,1,550,175457526,1080,02260A7544F60438,,,2,,,,,,,2,,,,,,,,3,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
3497,1,2,159,1,550,175457543,1080,02260A7545070438,,,2,,,,,,,2,,,,,,,,3,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
3498,1,2,159,1,550,175370948,1080,02260A73F2C40438,,,2,,,2,,,,2,,,,,,,,3,,,,,60000,,,,19940806,"US,US,graph,chart 11322"
3499,1,2,159,1,550,175453863,1080,02260A7536A70438,,,2,,,,,,,2,,,,,,,,3,,,,,45000,,,,19990529,"US,US,graph,chart 11322"
3500,1,2,159,1,550,175457059,1080,02260A7543230438,,,2,,,,,,,2,,,,,,,,3,,,,,45000,,,,19980804,"US,US,reprt,8thCGD,LNM 31/98"
3501,1,2,159,1,550,175370976,1080,02260A73F2E00438,,,2,,,2,,,Ship Jimbo,2,,,,,,,,3,,,,,60000,,,,19781201,"US,US,reprt,8thCGD,LNM 54/78"
